,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
93,1bda72a1-4f08-41f7-a73a-37d0d69a0e2e,2635,2,00:26:34.205,71,34,Error,157,Norwich City,Regular Play,AFC Bournemouth,Harry Arter,Left Center Midfield,"[55.8, 55.1]",0.0,3754004,56,28,3304,,,
94,197b75fa-0f56-45d4-986a-1c4bf85e109e,1708,1,00:41:49.485,41,49,Error,69,Southampton,From Goal Kick,Chelsea,Abdul Rahman Baba,Left Back,"[32.2, 29.1]",0.0,3754012,25,33,12325,,,
95,eb56f10b-69e5-4ba0-bbe6-e0639a2049c3,478,1,00:12:34.749,12,34,Error,24,Newcastle United,From Goal Kick,Newcastle United,Steven Taylor,Right Center Back,"[34.5, 72.7]",0.0,3754016,37,37,3722,,,
96,2fc76774-a544-48fb-a794-79c5e153cf0e,1344,1,00:29:44.599,29,44,Error,70,Liverpool,Regular Play,Liverpool,Pedro Chirivella Burgos,Right Center Midfield,"[56.9, 48.0]",0.0,3754018,24,24,8485,True,['5774e496-01fd-4910-9bf8-6552af273a96'],
97,b81c2b13-9376-48b7-9a98-fcdd88350ef4,2924,2,00:21:36.116,66,36,Error,144,Swansea City,Regular Play,Liverpool,Oluwaseyi Babajide Ojo,Right Midfield,"[13.6, 35.4]",0.0,3754018,26,24,13200,,,
98,cb5094d7-90bc-483e-9e1d-92e610a394e1,12,1,00:00:12.132,0,12,Error,2,West Ham United,From Kick Off,AFC Bournemouth,Simon Francis,Right Center Back,"[22.6, 56.3]",0.0,3754021,40,28,3608,,,
99,a401a040-b6bf-4a9e-8daf-f208b096f041,990,1,00:40:29.095,40,29,Error,80,Norwich City,From Throw In,Crystal Palace,Yohan Cabaye,Left Center Midfield,"[5.2, 44.6]",0.0,3754022,56,31,3277,,,
100,11f35ce8-3868-4307-850e-369d0193a150,2537,2,00:25:03.225,70,3,Error,158,Swansea City,From Free Kick,Newcastle United,Chancel Mbemba Mangulu,Right Center Back,"[11.0, 38.2]",0.0,3754024,26,37,3044,,,
101,242727d4-6a8a-4a03-94b3-e0a159b5f629,1718,1,00:45:22.206,45,22,Error,87,Watford,Regular Play,Watford,Miguel Ángel Britos Cabrera,Left Center Back,"[15.4, 56.0]",0.0,3754030,23,23,3288,,,
102,d691dac9-e23a-44f8-a2ab-fe754b6138bf,623,1,00:17:59.817,17,59,Error,30,Sunderland,From Throw In,Manchester United,Michael Carrick,Left Defensive Midfield,"[15.0, 31.1]",0.0,3754031,41,39,4751,,,
103,2832fba2-2f3c-4c1f-afbb-9c83849c4a1b,1084,1,00:27:38.188,27,38,Error,57,Norwich City,From Throw In,Stoke City,Jack Butland,Goalkeeper,"[4.4, 8.6]",0.0,3754032,56,30,3537,,,
104,8259b414-c6d1-4cfb-8d05-3092bc89cb59,3496,2,00:43:39.426,88,39,Error,154,Stoke City,Regular Play,Norwich City,Sébastien Aymar Bassong Nguena,Left Center Back,"[11.4, 30.5]",0.0,3754032,30,56,31296,,,
105,b1e5a319-b7e4-42dd-9465-f4dd2890f5d2,3226,2,00:39:18.561,84,18,Error,188,Stoke City,Regular Play,Chelsea,Thibaut Courtois,Goalkeeper,"[5.6, 37.2]",0.0,3754061,30,33,3509,,,
106,a44395f7-5d92-4ad7-8c19-4906457a4ad9,150,1,00:02:46.031,2,46,Error,10,Sunderland,Regular Play,Swansea City,Łukasz Fabiański,Goalkeeper,"[29.4, 22.3]",0.0,3754071,41,26,3262,,,
107,0aa98513-fef2-4fa3-bc8c-15cd8e2107c0,1416,1,00:34:13.758,34,13,Error,77,Watford,From Goal Kick,Tottenham Hotspur,Hugo Lloris,Goalkeeper,"[19.0, 24.6]",0.0,3754080,23,38,3099,,,
108,d6e6ed13-0733-427b-ae0e-28c655bfed92,1785,2,00:00:08.770,45,8,Error,112,West Ham United,From Kick Off,Watford,José Holebas,Left Back,"[10.6, 25.9]",0.0,3754086,40,23,3725,,,
109,0ffe6cbf-5d64-49f5-9c99-989ba69ed1b8,904,1,00:20:09.871,20,9,Error,45,Liverpool,Regular Play,Tottenham Hotspur,Heung-Min Son,Right Wing,"[11.4, 50.4]",0.0,3754087,24,38,3083,,,
110,27f7fa5b-0ea0-4534-8c64-7418778230aa,1375,1,00:39:12.227,39,12,Error,81,Tottenham Hotspur,Regular Play,Chelsea,John Terry,Left Center Back,"[7.8, 41.6]",0.0,3754092,38,33,20287,,,
111,85aba2e3-f72a-4d5a-b939-ed95fa777fc1,430,1,00:09:57.302,9,57,Error,16,Norwich City,From Goal Kick,Southampton,José Miguel da Rocha Fonte,Right Center Back,"[26.6, 24.3]",0.0,3754101,56,25,3960,,,
112,3d0e9aa5-6558-47e8-bf87-104bc91c7b85,2816,2,00:23:59.983,68,59,Error,129,Sunderland,From Throw In,Chelsea,John Michael Nchekwube Obinna,Right Defensive Midfield,"[8.7, 33.2]",0.0,3754108,41,33,5475,,,
113,34a3f50e-53f9-402d-83ee-87714fabac89,3012,2,00:35:03.654,80,3,Error,158,Manchester City,Regular Play,West Ham United,Aaron Cresswell,Left Back,"[14.1, 26.9]",0.0,3754110,36,40,3062,,,
114,1476cbdb-3567-4666-95db-a16e3e2f93fc,1554,1,00:36:09.283,36,9,Error,86,Swansea City,From Free Kick,Chelsea,Asmir Begović,Goalkeeper,"[15.9, 20.0]",0.0,3754116,26,33,3339,,,
115,c63db5d3-ac55-4ad3-83e6-ac397263ce24,2190,2,00:17:56.317,62,56,Error,106,Southampton,From Counter,West Ham United,James Collins,Center Back,"[22.8, 35.2]",0.0,3754120,25,40,3482,,,
116,dc69df9f-8aac-4d03-b4e4-712090e8fe21,3021,2,00:44:52.673,89,52,Error,148,West Ham United,Regular Play,Southampton,Cédric Ricardo Alves Soares,Right Wing Back,"[9.6, 49.4]",0.0,3754120,40,25,3329,,,
117,7479b175-1f48-4147-82ad-fc3743093293,1602,1,00:41:02.759,41,2,Error,74,Stoke City,Regular Play,Stoke City,Philipp Wollscheid,Right Center Back,"[44.6, 66.0]",0.0,3754127,30,30,40121,,,
118,7f3d7517-74b3-4667-b8b2-2df12ce8bc97,3242,2,00:33:04.778,78,4,Error,164,Everton,From Free Kick,Tottenham Hotspur,Tom Carroll,Left Defensive Midfield,"[16.4, 54.8]",0.0,3754140,29,38,3310,,,
119,48373da1-a77f-4beb-9f32-9b13d9bdd3e5,282,1,00:04:58.163,4,58,Error,18,Manchester City,From Throw In,Swansea City,Kristoffer Nordfeldt,Goalkeeper,"[1.9, 45.2]",0.0,3754149,36,26,9563,,,
120,0559281e-96ed-4cf7-83c9-fd09723784d2,1484,1,00:28:51.599,28,51,Error,73,Manchester City,Regular Play,Swansea City,Jefferson Antonio Montero Vite,Left Wing,"[28.3, 34.4]",0.0,3754149,36,26,7063,,,
121,694568d7-c791-4642-aae3-37f956e852ae,2399,2,00:06:01.706,51,1,Error,117,Manchester City,From Throw In,Swansea City,Kristoffer Nordfeldt,Goalkeeper,"[0.9, 34.7]",0.0,3754149,36,26,9563,,,
